,Concurso,Jogo,HG,Home,S,Away,AG,Dia,Res,H_Goals_Scored,A_Goals_Scored,H_Goals_Against,A_Goals_Against
0,Concurso 1 (18/02/2002),1,2,FLAMENGO/RJ, ,S. PAULO/SP,4,Domingo ,A,0,0,0,0
1,Concurso 1 (18/02/2002),2,3,VASCO/RJ, ,AMERICANO/RJ,0,Domingo ,H,0,0,0,0
2,Concurso 1 (18/02/2002),3,2,SANTOS/SP, ,SÃO CAETANO/SP,1,Domingo ,H,0,0,0,0
3,Concurso 1 (18/02/2002),4,1,P. DESPORTOS/SP, ,CORINTHIANS/SP,4,Domingo ,A,0,0,0,0
4,Concurso 1 (18/02/2002),5,7,CRUZEIRO/MG, ,AMÉRICA/MG,0,Sábado ,H,0,0,0,0
5,Concurso 1 (18/02/2002),6,1,JUVENTUDE/RS, ,ATLÉTICO/MG,2,Domingo ,A,0,0,0,0
6,Concurso 1 (18/02/2002),7,2,CORITIBA/PR, ,FIGUEIRENSE/SC,2,Domingo ,D,0,0,0,0
7,Concurso 1 (18/02/2002),8,2,CRICIÚMA/SC, ,ATLÉTICO/PR,1,Sábado ,H,0,0,0,0
8,Concurso 1 (18/02/2002),9,1,GRÊMIO/RS, ,JOINVILLE/SC,1,Sábado ,D,0,0,0,0
9,Concurso 1 (18/02/2002),10,2,BAHIA/BA, ,SANTA CRUZ/PE,0,Domingo ,H,0,0,0,0
10,Concurso 1 (18/02/2002),11,2,NÁUTICO/PE, ,VITÓRIA/BA,1,Domingo ,H,0,0,0,0
11,Concurso 1 (18/02/2002),12,1,BANGU/RJ, ,PALMEIRAS/SP,3,Sábado ,A,0,0,0,0
12,Concurso 1 (18/02/2002),13,3,ETTI JUNDIAÍ/SP, ,FLUMINENSE/RJ,0,Sábado ,H,0,0,0,0
13,Concurso 1 (18/02/2002),14,2,PONTE PRETA/SP, ,BOTAFOGO/RJ,0,Domingo ,H,0,0,0,0
14,Concurso 2 (25/02/2002),1,1,ATLÉTICO/MG, ,CRUZEIRO/MG,1,Sábado ,D,0,0,0,0
